NAME,DEPDOM,FED_RSSD,FEDCHRTR
Wayne Bank,"549,532",59316,0
The Houtzdale Bank,,528317,0
Industrial Valley Bank and Trust Company,,531719,0
Mellon Bank (Central) National Association,,623016,1
"Liberty State Bank, Mount Carmel, Pa.",,250711,0
Peoples Bank of Nanticoke,,990110,0
Orrstown Bank,"1,036,306",342410,0
Community Bank and Trust Company,,604613,0
The Fidelity Bank,,355214,0
"Mellon Bank (East) PSFS, National Association",,889018,1
"Corestates Bank, National Association",,298816,1
Provident National Bank,,981912,1
The Schuylkill Haven Trust Company,,268912,0
Bank of Pennsylvania,,508618,0
Kentucky Bank,"574,459",373115,0
First Security Bank & Trust Company of Madison County,,390916,0
The Firestone Bank,,153812,0
The Apple Creek Banking Company,"91,991",213912,0
"Bank One, Ashland",,219110,0
The Union Bank and Savings Company,,183314,0
First City Bank,"46,989",978417,0
"PNC Bank, Ohio, National Association",,906018,1
The Fifth Third Bank,,723112,0
The Provident Bank,,612618,0
AmeriTrust Company National Association,,455310,1
"National City Bank, Northeast",,703413,1
The Commercial and Savings Bank Company,,730316,0
The Commercial Bank,,934114,0
The Peoples Savings Bank Company,,793012,0
ShoreBank,,2190521,0
The Home Banking Company,,382014,0
1st Security Bank,,699422,0
The Farmers State Bank of Lyons Ohio,,815428,0
"Peoples Banking Company of Martins Ferry, Ohio",,339924,0
First National Bank of Middletown,,598020,1
Minster Bank,"322,197",604024,0
Citizens Community Bank,,196725,0
The Knox County Savings Bank,,199324,0
The Newark Trust Company,,366827,0
The Ohio Bank & Trust Company,,206923,0
The Savings Bank and Trust Company,,627023,0
The Farmers Bank and Savings Company,"218,209",58225,0
Savings Bank & Trust,,90627,0
The Fifth Third Bank of Brown County,,94821,0
The Western Security Bank,,544223,0
The Home Banking Company,,445320,0
The Citizens Bank of Shelby,,483621,0
"Fifth Third Bank, Northwestern Ohio, National Association",,95323,1
Society Bank & Trust,,525820,0
"Wells Fargo Bank Ohio, National Association",,239323,1
Society Bank of the Firelands,,255529,0
The Central Trust Company of Wayne County,,295226,0
Beaver Trust Company,,308023,0
Pennbank,,120823,0
"Peoples Union Bank and Trust Company, National Association",,52625,1
Mellon Bank (North) National Association,,1008021,1
Lawrence Savings and Trust Company,,911722,0
Wesbanco Bank Sistersville,,595720,0
"Wesbanco Bank, Inc.","5,061,417",645625,0
"American Security Bank, National Association",,608929,1
The Forest Hill State Bank,,615329,0
Citizens National Bank of Concord,,41423,1
Citizens Bank,,950422,0
Bank of Washington,,587127,0
"Wachovia Bank, National Association",,392620,1
The Peoples Bank,,805728,0
The Commercial Bank,,812221,0
The Bank of Hartsville,,460426,0
Citizens Bank and Trust Company,"283,132",991621,0
Peoples Community Bank,"134,853",947628,0
Crestar Bank,,47920,0
The Merchants and Farmers Bank,,153728,0
First Virginia Bank-South Hill,,33521,0
Bank of Tazewell County,,844820,0
"Peoples State Bank, National Association",,633426,1
Kanawha Banking & Trust Company National Association,,821821,1
"One Valley Bank, National Association",,575423,1
Greenbrier Valley Bank,,424129,0
Huntington Bank Martinsburg National Association,,948737,1
The Tucker County Bank,,826433,0
Summit Community Bank,,828530,0
The Bank of Romney,"189,053",722432,0
