NAME,DEPDOM,FED_RSSD,FEDCHRTR
First Community National Bank,"169,277",619859,1
Providence Bank,"571,096",704755,0
Peoples Bank of the Ozarks,"229,980",417149,0
Ozark Bank,"151,848",882952,0
The Bank of Old Monroe,"267,227",880855,0
Farmers and Merchants Bank of South Carolina,"197,266",282226,0
1st Financial Bank USA,"544,391",526452,0
Richland State Bank,"30,750",83852,0
Plains Commerce Bank,"383,444",593052,0
Dakota State Bank,"29,140",74159,0
Farmers State Bank,"121,708",120953,0
Community Bank,"41,373",276953,0
UBank,"52,056",423636,0
Citizens Bank,"132,217",898533,0
The Farmers Bank,"445,932",901938,0
First Century Bank,"210,346",999935,0
Peoples State Bank of Commerce,"136,597",501758,0
Mountain Valley Bank,"84,593",714437,0
Citizens Bank of Lafayette,"381,747",63733,0
Bank of Perry County,"124,008",284239,0
Citizens 1st Bank,"458,223",869663,0
Western Bank,"147,948",199463,0
Peoples Bank of Greensboro,"82,356",320034,0
Farmers and Merchants Bank,"158,339",434539,0
First Bank,"57,464",291330,0
The Farmers & Merchants Bank,"54,818",291732,0
Escambia County Bank,"70,576",305433,0
Union Bank & Trust Company,"160,723",22048,0
Central Bank,"77,746",3488579,0
First National Bank of Crossett,"116,919",514440,1
Mechanics Bank,"2,861,378",936462,0
The State Bank,"79,095",387055,0
The Citizens State Bank of Ouray,"79,307",98351,0
Farmers State Bank of Calhan,"171,985",956956,0
First State Bank Shannon-Polo,"138,564",232847,0
Longview State Bank,"56,002",380533,0
Rochester State Bank,"70,315",679648,0
State Bank of Arthur,"96,033",667832,0
Fayette County Bank,"31,324",486248,0
Better Banks,"231,636",851631,0
Fowler State Bank,"103,420",554343,0
The Fairmount State Bank,"36,024",503547,0
State Bank of Lizton,"328,527",345747,0
Ossian State Bank,"86,664",948643,0
Community State Bank,"95,160",987848,0
The Farmers and Merchants Bank,"102,470",629746,0
The Bippus State Bank,"100,288",443148,0
Wayne Bank and Trust Co.,"121,824",451246,0
First Security Bank and Trust Company,"363,786",894544,0
Keokuk Savings Bank and Trust Company,"96,873",745646,0
Waukon State Bank,"205,543",436542,0
Montezuma State Bank,"36,952",700140,0
Pleasantville State Bank,"33,835",586241,0
Wayland State Bank,"64,923",621245,0
The Kansas State Bank Overbrook Kansas,"45,057",582654,0
"The Farmers State Bank of Oakley, Kansas","90,805",278256,0
The Bank of Tescott,"274,611",54058,0
The Union State Bank,"195,791",227151,0
Bank of Labor,"401,510",246657,0
The Peoples Bank of Bullitt County,"195,348",68345,0
"The Talbot Bank of Easton, Maryland","526,444",796125,0
Farmers and Merchants Bank,"229,707",891226,0
First Independent Bank,"240,094",761851,0
Farmers and Merchants State Bank of Sacred Heart,"22,560",762353,0
St. Clair State Bank (Incorporated),"69,368",854753,0
"PROFINIUM, INC.","270,812",865450,0
Triumph State Bank,"57,918",803256,0
The Wanda State Bank,"109,646",190956,0
Castle Rock Bank,"145,624",152253,0
State Bank in Eden Valley,"25,501",411053,0
Citizens State Bank of Glenville,"39,887",1001451,0
Peoples State Bank of Madison Lake,"20,801",957551,0
Farmers State Bank of Trimont,"50,425",803658,0
New Market Bank,"77,115",165758,0
Citizens State Bank Norwood Young America,"75,104",875655,0
First State Bank of Okabena (Incorporated),"15,284",783956,0
Community State Bank of Missouri,"178,846",825548,0
Bank of Crocker,"115,493",765354,0
"The Tipton Latham Bank, National Association","89,175",984856,1
Metz Banking Company,"61,012",772754,0
Alliant Bank,"100,831",35057,0
Citizens Bank of Eldon,"102,543",954251,0
Lamar Bank and Trust Company,"115,283",767255,0
First Midwest Bank of the Ozarks,"93,657",575955,0
Citizens Bank & Trust Company,"91,154",657758,0
"Farmers State Bank of Denton, Montana","16,194",595953,0
The Yellowstone Bank,"364,078",680457,0
"Community Bank, Inc.","155,431",685555,0
Valley Bank of Kalispell,"100,184",473257,0
The First State Bank of Malta,"101,597",615253,0
Western Nebraska Bank,"51,737",248352,0
Commercial State Bank,"46,383",924553,0
Pathway Bank,"113,250",73554,0
CerescoBank,"37,897",75651,0
Farmers & Merchants Bank,"425,995",348720,0
"Bremer Bank, National Association","747,017",995450,1
State Bank & Trust of Kenmare,"92,393",675659,0
The Fahey Banking Company,"152,170",520423,0
The National Capital Bank of Washington,"359,043",791821,1
The Conway National Bank,"793,522",631422,1
First National Bank of South Carolina,"139,646",347022,1
The First National Bank of Polk County,"133,667",165039,1
Queensborough National Bank & Trust Company,"730,798",960935,1
Bank of Monticello,"86,854",805335,0
Southwest Georgia Bank,"309,448",699534,0
The Geo. D. Warthen Bank,"142,077",305237,0
First State Bank of Randolph County,"61,809",140634,0
The First National Bank of Waynesboro,"84,216",31134,1
First Community Bank,"205,138",642857,0
Montana State Bank,"66,826",655651,0
Ruby Valley National Bank,"68,992",566551,1
"Bank of The Rockies, National Association","103,543",475756,1
First Northern Bank of Wyoming,"216,109",868956,0
"Bank of Bridger, National Association","302,749",17950,1
The Rawlins National Bank,"136,103",548052,1
RSNB Bank,"314,642",550952,0
Pinnacle Bank - Wyoming,"582,435",561659,0
The First National Bank of Santa Fe,"727,865",787253,1
First American Bank,"710,096",771458,0
The Carlsbad National Bank,"234,301",219651,1
The James Polk Stone Community Bank,"159,496",785857,0
Bank of the Southwest,"142,763",499752,0
Western Bank,"126,594",723653,0
The First National Bank of Layton,"227,591",745570,1
Zions First National Bank,"14,496,163",276579,1
The First National Bank of Ely,"76,472",450669,1
The Cortland Savings and Banking Company,"427,757",846619,0
North Valley Bank,"140,335",783910,0
The Genoa Banking Company,"217,626",504311,0
The Citizens Bank of De Graff,"25,516",870913,0
Commodore Bank,"70,002",548829,0
The Farmers Savings Bank,"226,344",457220,0
The Commercial Savings Bank,"268,358",533928,0
The Bank of Magnolia Company,"65,657",940021,0
The First State Bank,"53,611",141350,0
Washita Valley Bank,"33,073",184759,0
The American Bank,"23,770",287856,0
Armstrong Bank,"541,157",470452,0
The Bank of Wyandotte,"10,160",59754,0
Cornerstone Bank,"129,148",537355,0
Peoples Bank,"42,621",539452,0
AVB Bank,"202,894",262059,0
Bank of Cherokee County,"96,279",815754,0
"American Exchange Bank, Lindsay, Oklahoma","42,350",826451,0
Peoples Bank and Trust Company,"24,899",243955,0
Wilburton State Bank,"60,632",50854,0
Mauch Chunk Trust Company,"266,862",857811,0
The Bank of Waynesboro,"123,074",505831,0
Bank of Gleason,"99,618",141958,0
Carroll Bank and Trust,"225,287",541857,0
Security Bank,"139,163",497851,0
Commercial State Bank,"258,175",662659,0
Farmers Bank,"335,901",619327,0
Clear Mountain Bank,"420,062",886624,0
"Clay County Bank, Inc.","69,164",832528,0
"Pioneer Community Bank, Inc.","108,456",294827,0
West Union Bank,"119,018",22730,0
Davis Trust Company,"128,394",357526,0
The Bank of Brodhead,"112,859",517441,0
Citizens State Bank,"92,546",149150,0
Northwestern Bank,"333,940",153054,0
Badger Bank,"101,044",846945,0
McFarland State Bank,"295,536",663647,0
Bank of Deerfield,"95,434",588245,0
Nekoosa Port Edwards State Bank,"175,145",791942,0
Farmers and Merchants Bank,"24,062",1014844,0
The National Iron Bank,"101,355",1008209,1
The Citizens National Bank,"262,039",509400,1
The First National Bank of Suffield,"207,675",115100,1
The Edgartown National Bank,"130,473",767705,1
First  Ipswich Bank,"260,450",442806,0
The Lenox National Bank,"57,891",791205,1
The National Grand Bank of Marblehead,"249,880",863607,1
The Milford National Bank and Trust Company,"251,982",879000,1
Millbury National Bank,"66,094",881900,1
The Rockport National Bank,"188,733",555005,1
The First National Bank of Brooksville,"50,070",798512,1
Cumberland Valley National Bank & Trust Company,"344,579",647218,1
The First National Bank of Grayson,"184,045",610913,1
The First National Bank of Jackson,"86,118",620015,1
First Southern National Bank,"627,841",702612,1
First National Bank and Trust,"159,673",717513,1
The First National Bank of Manchester,"120,449",719610,1
"First State Financial, Inc.","322,508",961811,0
"Traditional Bank, Inc.","882,697",786210,0
Citizens National Bank of Paintsville,"433,877",495419,1
"Community Trust Bank, Inc.","2,884,119",509811,0
"The First Commonwealth Bank of Prestonsburg, Inc.","227,195",511618,0
The Salyersville National Bank,"97,631",472018,1
The Citizens National Bank of Somerset,"276,586",410917,1
Bank of Buffalo,"57,342",825940,0
The First National Bank of Carrollton,"88,258",907444,1
"First National Bank of Muhlenberg County, Kentucky","114,859",718547,1
"First & Farmers National Bank, Inc.","404,956",721949,1
The Farmers National Bank of Danville,"368,091",785147,1
The Lincoln National Bank of Hodgenville,"135,736",553944,1
The Citizens National Bank of Lebanon,"95,070",641449,1
The Farmers National Bank of Lebanon,"86,141",575348,1
"FNB Bank, Inc.","328,360",400141,0
First Farmers Bank and Trust Company,"90,940",466549,0
"Farmers Bank and Trust Company, Princeton, Kentucky","91,363",46941,0
The First National Bank of Russell Springs,"163,683",173641,1
The Farmers National Bank of Scottsville,"190,667",183846,1
"MidSouth Bank, National Association","330,839",929932,1
The First National Bank and Trust,"118,881",670430,1
First Bank of Boaz,"134,741",533535,0
The First National Bank of Brundidge,"81,582",465337,1
The Camden National Bank,"90,474",466932,1
The First National Bank of Dozier,"29,126",496434,1
The First National Bank of Hartford,"103,519",112332,1
The Headland National Bank,"87,411",117038,1
FNB Bank,"308,756",441434,0
Friend Bank,"61,817",244037,0
First Southern State Bank,"305,821",246134,0
The First National Bank of Talladega,"301,732",257233,1
Amerifirst Bank,"126,281",139133,0
The Farmers National Bank of Buhl,"337,379",307062,1
State Bank Northwest,"89,603",479071,0
Baker-Boyer National Bank,"470,414",69678,1
"Vectra Bank Colorado, National Association","2,303,735",933957,1
The First National Bank of Durango,"394,973",68859,1
High Plains Bank,"95,978",247551,0
The First National Bank of Fleming,"20,364",306056,1
Rocky Mountain Bank & Trust Florence,"80,659",249658,0
Colorado East Bank & Trust,"678,568",320155,0
The First National Bank of Hugo,"91,483",276551,1
Points West Community Bank,"175,678",444556,0
The First National Bank of Las Animas,"261,482",513256,1
Mile High Banks,"645,750",515353,0
